State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
US,United States,,,,,,"331,449,281","331,449,520","331,511,512","332,031,554","333,287,557","61,992","520,042","1,256,003"
AL,Alabama,,,,,,"5,024,279","5,024,356","5,031,362","5,049,846","5,074,296","7,006","18,484","24,450"
AL,Autauga County,2,2,2,2,0,"58,805","58,802","58,902","59,210","59,759",100,308,549
AL,Baldwin County,4,3,5,2,5,"231,767","231,761","233,219","239,361","246,435","1,458","6,142","7,074"
AL,Barbour County,6,6,6,6,3,"25,223","25,224","24,960","24,539","24,706",-264,-421,167
AL,Bibb County,1,1,1,1,0,"22,293","22,300","22,183","22,370","22,005",-117,187,-365
AL,Blount County,1,1,1,1,0,"59,134","59,130","59,102","59,085","59,512",-28,-17,427
AL,Bullock County,6,6,6,6,3,"10,357","10,362","10,296","10,280","10,202",-66,-16,-78
AL,Butler County,6,6,6,6,0,"19,051","19,055","19,031","18,855","18,650",-24,-176,-205
AL,Calhoun County,3,3,2,2,4,"116,441","116,444","116,239","115,677","115,788",-205,-562,111
AL,Chambers County,6,6,5,5,0,"34,772","34,774","34,645","34,446","34,088",-129,-199,-358
AL,Cherokee County,8,6,6,6,0,"24,971","24,979","24,972","25,026","25,302",-7,54,276
AL,Chilton County,1,1,1,1,0,"45,014","45,009","45,051","45,259","45,884",42,208,625
AL,Choctaw County,9,9,10,10,3,"12,665","12,663","12,619","12,549","12,439",-44,-70,-110
AL,Clarke County,7,7,11,11,3,"23,087","23,087","22,981","22,715","22,515",-106,-266,-200
AL,Clay County,9,9,10,10,3,"14,236","14,237","14,211","14,190","14,198",-26,-21,8
AL,Cleburne County,8,8,4,4,0,"15,056","15,057","15,063","15,148","15,346",6,85,198
AL,Coffee County,6,4,5,5,0,"53,465","53,460","53,547","54,171","54,805",87,624,634
AL,Colbert County,3,3,2,2,0,"57,227","57,232","57,299","57,619","58,033",67,320,414
AL,Conecuh County,9,7,11,11,0,"11,597","11,597","11,553","11,320","11,206",-44,-233,-114
AL,Coosa County,8,8,7,3,3,"10,387","10,382","10,341","10,366","10,166",-41,25,-200
AL,Covington County,7,6,9,6,0,"37,570","37,567","37,507","37,542","37,602",-60,35,60
AL,Crenshaw County,8,8,6,6,3,"13,194","13,197","13,165","13,056","13,025",-32,-109,-31
AL,Cullman County,6,4,3,3,0,"87,866","87,857","88,131","89,618","90,665",274,"1,487","1,047"
