fid,state
1,FL
2,FL
3,FL
4,FL
5,FL
6,FL
7,FL
8,FL
9,FL
10,FL
11,FL
12,FL
13,FL
14,FL
15,FL
16,FL
17,FL
18,FL
19,FL
20,FL
21,FL
22,FL
23,FL
24,FL
25,FL
26,FL
27,FL
28,FL
29,FL
30,MA
31,FL
32,FL
33,MA
34,MA
35,CT
36,MA
37,MA
38,MA
39,MA
40,CT
41,MA
42,MA
43,MA
44,MA
45,MA
46,MA
47,MA
48,MA
49,MA
50,MA
51,MA
52,CT
53,MA
54,MA
55,MA
56,CT
57,MA
58,MA
59,MA
60,MA
61,MA
62,MA
63,MA
64,MA
65,MA
66,MA
67,MA
68,MA
69,MA
70,MA
71,MA
72,MA
73,MA
74,MA
75,MA
76,MA
77,MA
78,MA
79,MA
80,MA
81,MA
82,MA
83,MA
84,MA
85,MA
86,MA
87,MA
88,MA
89,MA
90,MA
91,MA
92,MA
93,CT
94,CT
95,MA
96,MA
97,CT
98,MA
99,MA
100,MA
101,MA
102,MA
103,MA
104,MA
105,MA
106,CT
107,CT
108,CT
109,CT
110,CT
111,CT
112,MA
113,MA
114,VT
115,VT
116,CT
117,NY
118,NY
119,NY
120,NY
121,CT
122,NY
123,NY
124,NY
125,NY
126,NY
127,NY
128,NY
129,NY
130,NY
131,NY
132,CT
133,CT
134,NY
135,NY
136,NY
137,CT
138,NY
139,NY
140,NY
141,NY
142,NY
143,NY
144,NY
145,VT
146,NY
147,NY
148,NY
149,NY
150,NY
151,NY
152,CT
153,NY
154,NH
155,NH
156,MA
157,MA
158,NH
159,NH
160,NH
161,MA
162,MA
163,MA
164,MA
165,NH
166,NH
167,NH
168,NH
169,MA
170,NH
171,NH
172,MA
173,MA
174,MA
175,MA
176,MA
177,MA
178,MA
179,MA
180,NH
181,MA
182,MA
183,MA
184,MA
185,MA
186,MA
187,MA
188,MA
189,MA
190,MA
191,MA
192,MA
193,MA
194,RI
195,RI
196,MA
197,MA
198,RI
199,RI
200,MA
201,RI
202,MA
203,RI
204,MA
205,MA
206,MA
207,RI
208,RI
209,RI
210,MA
211,MA
212,MA
213,MA
214,RI
215,RI
216,MA
217,CT
218,MA
219,MA
220,CT
221,CT
222,MA
223,MA
224,MA
225,MA
226,MA
227,MA
228,MA
229,MA
230,MA
231,MA
232,MA
233,MA
234,MA
235,MA
236,MA
237,MA
238,MA
239,MA
240,MA
241,MA
242,MA
243,MA
244,MA
245,MA
246,MA
247,MA
248,MA
249,MA
250,MA
251,MA
252,MA
253,MA
254,MA
255,MA
256,MA
257,MA
258,MA
259,NH
260,MA
261,MA
262,MA
263,MA
264,NH
265,NH
266,MA
267,MA
268,MA
269,MA
270,NH
271,NH
272,MA
273,MA
274,MA
275,MA
276,MA
277,MA
278,MA
279,NH
280,NH
281,NH
282,NH
283,NH
284,NH
285,NH
286,MA
287,MA
288,MA
289,MA
290,MA
291,MA
292,MA
293,MA
294,MA
295,MA
296,MA
297,MA
298,MA
299,MA
300,MA
301,MA
302,MA
303,MA
304,MA
305,NH
306,NH
307,MA
308,NH
309,MA
310,MA
311,MA
312,MA
313,MA
314,MA
315,MA
316,MA
317,MA
318,MA
319,MA
320,MA
321,MA
322,MA
323,MA
324,MA
325,MA
326,MA
327,MA
328,MA
329,MA
330,MA
331,MA
332,MA
333,MA
334,MA
335,MA
336,MA
337,MA
338,MA
339,MA
340,MA
341,MA
342,MA
343,MA
344,MA
345,MA
346,MA
347,MA
348,MA
349,MA
350,MA
351,MA
352,MA
353,MA
354,MA
355,MA
356,MA
357,MA
358,MA
359,MA
360,MA
361,MA
362,MA
363,MA
364,MA
365,MA
366,MA
367,MA
368,MA
369,MA
370,MA
371,RI
372,RI
373,RI
374,RI
375,RI
376,RI
377,MA
378,RI
379,RI
380,RI
381,RI
382,RI
383,RI
384,RI
385,RI
386,RI
387,RI
388,RI
389,CT
390,RI
391,CT
392,CT
393,CT
394,CT
395,CT
396,CT
397,RI
398,RI
399,CT
400,CT
401,RI
402,CT
403,CT
404,CT
405,CT
406,RI
407,CT
408,CT
409,NH
410,NH
411,NH
412,NH
413,NH
414,NH
415,NH
416,NH
417,NH
418,NH
419,NH
420,NH
421,NH
422,NH
423,NH
424,ME
425,NH
426,NH
427,NH
428,NH
429,NH
430,NH
431,NH
432,NH
433,NH
434,NH
435,VT
436,NH
437,VT
438,NH
439,ME
440,NH
441,NH
442,NH
443,ME
444,NH
445,NH
446,VT
447,VT
448,VT
449,ME
450,VT
451,VT
452,VT
453,ME
454,VT
455,ME
456,VT
457,ME
458,VT
459,ME
460,ME
461,ME
462,ME
463,ME
464,ME
465,ME
466,ME
467,VT
468,VT
469,VT
470,ME
471,ME
472,ME
473,ME
474,ME
475,ME
476,VT
477,VT
478,NY
479,VT
480,VT
481,VT
482,VT
483,VT
484,VT
485,ME
486,ME
487,ME
488,ME
489,ME
490,ME
491,ME
492,ME
493,ME
494,ME
495,ME
496,ME
497,ME
498,ME
499,ME
500,ME
501,ME
502,ME
503,ME
504,ME
505,ME
506,ME
507,ME
508,ME
509,ME
510,ME
511,ME
512,ME
513,ME
514,ME
515,ME
516,ME
517,ME
518,ME
519,ME
520,ME
521,ME
522,ME
523,ME
524,ME
525,ME
